id,timestamp,trace_string
0,1646272486,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
0,1646272486, 1  StarlinkRouter.lan (192.168.1.1)  0.739 ms  0.938 ms  0.549 ms
0,1646272486, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.329 ms  43.283 ms  35.130 ms
0,1646272486, 3  * * *
0,1646272486, 4  * * *
0,1646272486, 5  * * *
0,1646272486, 6  * * *
0,1646272486, 7  * * *
0,1646272486, 8  * * *
0,1646272486, 9  * * *
0,1646272486,10  * * *
0,1646272486,11  * * *
0,1646272486,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-13'  226.247 ms  226.119 ms 62.240.32.195.static.ltt.ly (62.240.32.195) '-14'  205.047 ms
1,1646301791,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
1,1646301791, 1  StarlinkRouter.lan (192.168.1.1)  0.658 ms  0.535 ms  0.552 ms
1,1646301791, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  24.006 ms  31.834 ms  23.660 ms
1,1646301791, 3  * * *
1,1646301791, 4  * * *
1,1646301791, 5  * * *
1,1646301791, 6  * * *
1,1646301791, 7  * * *
1,1646301791, 8  * * *
1,1646301791, 9  * * *
1,1646301791,10  * * *
1,1646301791,11  * * *
1,1646301791,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-14'  223.621 ms  223.072 ms  212.513 ms
2,1646388213,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
2,1646388213, 1  StarlinkRouter.lan (192.168.1.1)  0.771 ms  0.951 ms  0.546 ms
2,1646388213, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  29.379 ms  33.167 ms  33.221 ms
2,1646388213, 3  * * *
2,1646388213, 4  * * *
2,1646388213, 5  * * *
2,1646388213, 6  * * *
2,1646388213, 7  * * *
2,1646388213, 8  * * *
2,1646388213, 9  * * *
2,1646388213,10  * * *
2,1646388213,11  * * *
2,1646388213,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-13'  213.772 ms  221.343 ms  215.264 ms
3,1646474633,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
3,1646474633, 1  StarlinkRouter.lan (192.168.1.1)  0.716 ms  0.540 ms  0.587 ms
3,1646474633, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  23.976 ms  23.220 ms  23.504 ms
3,1646474633, 3  * * *
3,1646474633, 4  * * *
3,1646474633, 5  * * *
3,1646474633, 6  * * *
3,1646474633, 7  * * *
3,1646474633, 8  * * *
3,1646474633, 9  * * *
3,1646474633,10  * * *
3,1646474633,11  * * *
3,1646474633,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-14'  213.972 ms 62.240.32.195.static.ltt.ly (62.240.32.195) '-13'  205.870 ms  214.758 ms
4,1646560980,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
4,1646560980, 1  StarlinkRouter.lan (192.168.1.1)  0.739 ms  0.762 ms  1.002 ms
4,1646560980, 2  * * customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  97.463 ms
4,1646560980, 3  * * *
4,1646560980, 4  * * *
4,1646560980, 5  * * *
4,1646560980, 6  * * *
4,1646560980, 7  * * *
4,1646560980, 8  * * *
4,1646560980, 9  * * *
4,1646560980,10  * * *
4,1646560980,11  * * *
4,1646560980,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-14'  224.292 ms 62.240.32.195.static.ltt.ly (62.240.32.195) '-13'  220.227 ms  206.545 ms
5,1646647409,"traceroute to whois.nic.ly (62.240.32.195), 30 hops max, 60 byte packets"
5,1646647409, 1  StarlinkRouter.lan (192.168.1.1)  0.823 ms  0.633 ms  0.876 ms
5,1646647409, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  51.940 ms  52.167 ms  51.928 ms
5,1646647409, 3  * * *
5,1646647409, 4  * * *
5,1646647409, 5  * * *
5,1646647409, 6  * * *
5,1646647409, 7  * * *
5,1646647409, 8  * * *
5,1646647409, 9  * * *
5,1646647409,10  * * *
5,1646647409,11  * * *
5,1646647409,12  62.240.32.195.static.ltt.ly (62.240.32.195) '-13'  242.388 ms 62.240.32.195.static.ltt.ly (62.240.32.195) '-14'  241.815 ms  232.879 ms
