id,timestamp,trace_string
2,1646388111,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
2,1646388111, 1  StarlinkRouter.lan (192.168.1.1)  0.857 ms  0.671 ms  0.597 ms
2,1646388111, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  45.354 ms  45.429 ms  45.504 ms
2,1646388111, 3  * * *
2,1646388111, 4  * * *
2,1646388111, 5  * * *
2,1646388111, 6  * * *
2,1646388111, 7  * * *
2,1646388111, 8  * * *
2,1646388111, 9  * * *
2,1646388111,10  * * *
2,1646388111,11  * * *
2,1646388111,12  * * *
2,1646388111,13  redirect.portsit.se (193.14.90.203) '-19'  196.328 ms  196.056 ms redirect.portsit.se (193.14.90.203) '-18'  255.383 ms
3,1646474520,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
3,1646474520, 1  StarlinkRouter.lan (192.168.1.1)  0.819 ms  0.852 ms  0.637 ms
3,1646474520, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  37.227 ms  45.009 ms  44.759 ms
3,1646474520, 3  * * *
3,1646474520, 4  * * *
3,1646474520, 5  * * *
3,1646474520, 6  * * *
3,1646474520, 7  * * *
3,1646474520, 8  * * *
3,1646474520, 9  * * *
3,1646474520,10  * * *
3,1646474520,11  * * *
3,1646474520,12  * * *
3,1646474520,13  redirect.portsit.se (193.14.90.203) '-24'  313.859 ms  313.715 ms  291.512 ms
4,1646560869,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
4,1646560869, 1  StarlinkRouter.lan (192.168.1.1)  0.773 ms  0.584 ms  0.581 ms
4,1646560869, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  37.117 ms  36.998 ms  36.952 ms
4,1646560869, 3  * * *
4,1646560869, 4  * * *
4,1646560869, 5  * * *
4,1646560869, 6  * * *
4,1646560869, 7  * * *
4,1646560869, 8  * * *
4,1646560869, 9  * * *
4,1646560869,10  * * *
4,1646560869,11  * * *
4,1646560869,12  * * *
4,1646560869,13  redirect.portsit.se (193.14.90.203) '-18'  196.755 ms redirect.portsit.se (193.14.90.203) '-19'  193.945 ms redirect.portsit.se (193.14.90.203) '-18'  186.100 ms
5,1646647304,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
5,1646647304, 1  StarlinkRouter.lan (192.168.1.1)  0.787 ms  0.612 ms  0.524 ms
5,1646647304, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  29.273 ms  37.146 ms  37.182 ms
5,1646647304, 3  * * *
5,1646647304, 4  * * *
5,1646647304, 5  * * *
5,1646647304, 6  * * *
5,1646647304, 7  * * *
5,1646647304, 8  * * *
5,1646647304, 9  * * *
5,1646647304,10  * * *
5,1646647304,11  * * *
5,1646647304,12  * * *
5,1646647304,13  redirect.portsit.se (193.14.90.203) '-19'  188.574 ms  187.960 ms redirect.portsit.se (193.14.90.203) '-18'  191.477 ms
6,1646733708,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
6,1646733708, 1  StarlinkRouter.lan (192.168.1.1)  0.891 ms  0.644 ms  0.880 ms
6,1646733708, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  35.535 ms  51.151 ms  51.192 ms
6,1646733708, 3  * * *
6,1646733708, 4  * * *
6,1646733708, 5  * * *
6,1646733708, 6  * * *
6,1646733708, 7  * * *
6,1646733708, 8  * * *
6,1646733708, 9  * * *
6,1646733708,10  * * *
6,1646733708,11  * * *
6,1646733708,12  * * *
6,1646733708,13  redirect.portsit.se (193.14.90.203) '-17'  184.147 ms  183.642 ms redirect.portsit.se (193.14.90.203) '-16'  183.520 ms
7,1646820084,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
7,1646820084, 1  StarlinkRouter.lan (192.168.1.1)  0.836 ms  0.560 ms  0.644 ms
7,1646820084, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  30.689 ms  30.439 ms  30.573 ms
7,1646820084, 3  * * *
7,1646820084, 4  * * *
7,1646820084, 5  * * *
7,1646820084, 6  * * *
7,1646820084, 7  * * *
7,1646820084, 8  * * *
7,1646820084, 9  * * *
7,1646820084,10  * * *
7,1646820084,11  * * *
7,1646820084,12  * * *
7,1646820084,13  redirect.portsit.se (193.14.90.203) '-16'  190.172 ms redirect.portsit.se (193.14.90.203) '-17'  190.037 ms redirect.portsit.se (193.14.90.203) '-16'  199.320 ms
8,1646906510,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
8,1646906510, 1  StarlinkRouter.lan (192.168.1.1)  0.780 ms  0.632 ms  0.867 ms
8,1646906510, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  33.054 ms  44.767 ms  44.806 ms
8,1646906510, 3  * * *
8,1646906510, 4  * * *
8,1646906510, 5  * * *
8,1646906510, 6  * * *
8,1646906510, 7  * * *
8,1646906510, 8  * * *
8,1646906510, 9  * * *
8,1646906510,10  * * *
8,1646906510,11  * * *
8,1646906510,12  * * *
8,1646906510,13  redirect.portsit.se (193.14.90.203) '-17'  182.892 ms  182.677 ms  191.251 ms
9,1646992927,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
9,1646992927, 1  StarlinkRouter.lan (192.168.1.1)  0.788 ms  0.588 ms  0.698 ms
9,1646992927, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  25.055 ms  24.738 ms  36.577 ms
9,1646992927, 3  * * *
9,1646992927, 4  * * *
9,1646992927, 5  * * *
9,1646992927, 6  * * *
9,1646992927, 7  * * *
9,1646992927, 8  * * *
9,1646992927, 9  * * *
9,1646992927,10  * * *
9,1646992927,11  * * *
9,1646992927,12  * * *
9,1646992927,13  redirect.portsit.se (193.14.90.203) '-16'  180.321 ms  178.703 ms  179.447 ms
10,1647079319,"traceroute to spotify.ua (193.14.90.203), 30 hops max, 60 byte packets"
10,1647079319, 1  StarlinkRouter.lan (192.168.1.1)  0.802 ms  0.601 ms  0.851 ms
