id,timestamp,trace_string
0,1646272486,"traceroute to vk.com (93.186.225.208), 30 hops max, 60 byte packets"
0,1646272486, 1  StarlinkRouter.lan (192.168.1.1)  0.768 ms  0.628 ms  0.507 ms
0,1646272486, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  34.043 ms  33.829 ms  34.035 ms
0,1646272486, 3  * * *
0,1646272486, 4  * * *
0,1646272486, 5  * * *
0,1646272486, 6  * * *
0,1646272486, 7  * * *
0,1646272486, 8  * * *
0,1646272486, 9  93.186.225.208 (93.186.225.208) '-10'  218.325 ms  217.737 ms 93.186.225.208 (93.186.225.208)  218.238 ms
1,1646301716,"traceroute to vk.com (87.240.190.72), 30 hops max, 60 byte packets"
1,1646301716, 1  StarlinkRouter.lan (192.168.1.1)  0.678 ms  0.548 ms  0.472 ms
1,1646301716, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  38.052 ms  45.980 ms  29.937 ms
1,1646301716, 3  * * *
1,1646301716, 4  * * *
1,1646301716, 5  * * *
1,1646301716, 6  * * *
1,1646301716, 7  * * *
1,1646301716, 8  * * *
1,1646301716, 9  srv72-190-240-87.vk.com (87.240.190.72) '-10'  207.083 ms srv72-190-240-87.vk.com (87.240.190.72) '-11'  214.865 ms  214.657 ms
2,1646388149,"traceroute to vk.com (87.240.190.78), 30 hops max, 60 byte packets"
2,1646388149, 1  StarlinkRouter.lan (192.168.1.1)  0.790 ms  0.643 ms  0.579 ms
2,1646388149, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  28.138 ms  27.814 ms  43.724 ms
2,1646388149, 3  * * *
2,1646388149, 4  * * *
2,1646388149, 5  * * *
2,1646388149, 6  * * *
2,1646388149, 7  * * *
2,1646388149, 8  * * *
2,1646388149, 9  srv78-190-240-87.vk.com (87.240.190.78) '-10'  238.121 ms srv78-190-240-87.vk.com (87.240.190.78) '-11'  237.054 ms  236.915 ms
3,1646474557,"traceroute to vk.com (87.240.190.67), 30 hops max, 60 byte packets"
3,1646474557, 1  StarlinkRouter.lan (192.168.1.1)  0.748 ms  0.603 ms  0.555 ms
3,1646474557, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  31.987 ms  32.210 ms  31.921 ms
3,1646474557, 3  * * *
3,1646474557, 4  * * *
3,1646474557, 5  * * *
3,1646474557, 6  * * *
3,1646474557, 7  * * *
3,1646474557, 8  * * *
3,1646474557, 9  srv67-190-240-87.vk.com (87.240.190.67) '-10'  232.405 ms srv67-190-240-87.vk.com (87.240.190.67) '-11'  232.978 ms srv67-190-240-87.vk.com (87.240.190.67) '-10'  233.183 ms
