id,timestamp,trace_string
0,1646272486,"traceroute to google.com (142.251.33.78), 30 hops max, 60 byte packets"
0,1646272486, 1  StarlinkRouter.lan (192.168.1.1)  0.761 ms  0.550 ms  0.660 ms
0,1646272486, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  35.594 ms  35.600 ms  35.640 ms
0,1646272486, 3  * * *
0,1646272486, 4  * * *
0,1646272486, 5  * * *
0,1646272486, 6  * * *
0,1646272486, 7  * * *
0,1646272486, 8  sea09s28-in-f14.1e100.net (142.251.33.78) '-7'  36.889 ms sea09s28-in-f14.1e100.net (142.251.33.78)  23.625 ms sea09s28-in-f14.1e100.net (142.251.33.78) '-7'  23.691 ms
1,1646301705,"traceroute to google.com (142.251.33.78), 30 hops max, 60 byte packets"
1,1646301705, 1  StarlinkRouter.lan (192.168.1.1)  0.695 ms  0.591 ms  0.551 ms
1,1646301705, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.643 ms  44.189 ms  40.163 ms
1,1646301705, 3  * * *
1,1646301705, 4  * * *
1,1646301705, 5  * * *
1,1646301705, 6  * * *
1,1646301705, 7  * * *
1,1646301705, 8  sea09s28-in-f14.1e100.net (142.251.33.78)  27.907 ms sea09s28-in-f14.1e100.net (142.251.33.78) '-7'  31.400 ms sea09s28-in-f14.1e100.net (142.251.33.78)  35.963 ms
2,1646388134,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
2,1646388134, 1  StarlinkRouter.lan (192.168.1.1)  0.781 ms  0.584 ms  0.748 ms
2,1646388134, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.573 ms  27.371 ms  27.376 ms
2,1646388134, 3  * * *
2,1646388134, 4  * * *
2,1646388134, 5  * * *
2,1646388134, 6  * * *
2,1646388134, 7  * * *
2,1646388134, 8  sea09s30-in-f14.1e100.net (142.250.217.110)  45.359 ms  39.654 ms  31.711 ms
3,1646474553,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
3,1646474553, 1  StarlinkRouter.lan (192.168.1.1)  0.747 ms  0.802 ms  0.522 ms
3,1646474553, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  28.017 ms  27.723 ms  27.895 ms
3,1646474553, 3  * * *
3,1646474553, 4  * * *
3,1646474553, 5  * * *
3,1646474553, 6  * * *
3,1646474553, 7  * * *
3,1646474553, 8  sea09s30-in-f14.1e100.net (142.250.217.110) '-7'  28.726 ms  31.586 ms  39.662 ms
4,1646560900,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
4,1646560900, 1  StarlinkRouter.lan (192.168.1.1)  0.775 ms  0.581 ms  0.560 ms
4,1646560900, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  31.288 ms  42.871 ms  46.723 ms
4,1646560900, 3  * * *
4,1646560900, 4  * * *
4,1646560900, 5  * * *
4,1646560900, 6  * * *
4,1646560900, 7  * * *
4,1646560900, 8  sea09s30-in-f14.1e100.net (142.250.217.110) '-7'  31.924 ms  35.429 ms sea09s30-in-f14.1e100.net (142.250.217.110)  27.443 ms
5,1646647329,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
5,1646647329, 1  StarlinkRouter.lan (192.168.1.1)  0.747 ms  0.552 ms  0.580 ms
5,1646647329, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  52.529 ms  36.498 ms  52.394 ms
5,1646647329, 3  * * *
5,1646647329, 4  * * *
5,1646647329, 5  * * *
5,1646647329, 6  * * *
5,1646647329, 7  * * *
5,1646647329, 8  sea09s30-in-f14.1e100.net (142.250.217.110)  69.430 ms sea09s30-in-f14.1e100.net (142.250.217.110) '-7'  63.734 ms sea09s30-in-f14.1e100.net (142.250.217.110)  55.442 ms
6,1646733735,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
6,1646733735, 1  StarlinkRouter.lan (192.168.1.1)  0.713 ms  0.529 ms  0.803 ms
6,1646733735, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.715 ms  27.848 ms  27.561 ms
6,1646733735, 3  * * *
6,1646733735, 4  * * *
6,1646733735, 5  * * *
6,1646733735, 6  * * *
6,1646733735, 7  * * *
6,1646733735, 8  sea09s30-in-f14.1e100.net (142.250.217.110)  29.173 ms  31.244 ms sea09s30-in-f14.1e100.net (142.250.217.110) '-7'  23.635 ms
7,1646820114,"traceroute to google.com (142.250.217.110), 30 hops max, 60 byte packets"
7,1646820114, 1  StarlinkRouter.lan (192.168.1.1)  0.795 ms  0.982 ms  1.173 ms
7,1646820114, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.323 ms  36.285 ms  36.291 ms
7,1646820114, 3  * * *
7,1646820114, 4  * * *
7,1646820114, 5  * * *
7,1646820114, 6  * * *
7,1646820114, 7  * * *
7,1646820114, 8  sea09s30-in-f14.1e100.net (142.250.217.110)  32.695 ms  27.898 ms  27.318 ms
8,1646906535,"traceroute to google.com (142.250.217.78), 30 hops max, 60 byte packets"
8,1646906535, 1  StarlinkRouter.lan (192.168.1.1)  0.793 ms  0.589 ms  0.616 ms
8,1646906535, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  35.979 ms  49.057 ms  48.901 ms
8,1646906535, 3  * * *
8,1646906535, 4  * * *
8,1646906535, 5  * * *
8,1646906535, 6  * * *
8,1646906535, 7  * * *
8,1646906535, 8  sea09s29-in-f14.1e100.net (142.250.217.78) '-7'  39.296 ms sea09s29-in-f14.1e100.net (142.250.217.78)  46.223 ms  39.553 ms
9,1646992951,"traceroute to google.com (142.251.33.110), 30 hops max, 60 byte packets"
9,1646992951, 1  StarlinkRouter.lan (192.168.1.1)  0.791 ms  0.587 ms  0.629 ms
9,1646992951, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.554 ms  27.428 ms  27.300 ms
