id,timestamp,trace_string
0,1646272486,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
0,1646272486, 1  StarlinkRouter.lan (192.168.1.1)  0.829 ms  0.627 ms  0.568 ms
0,1646272486, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.418 ms  27.430 ms  27.290 ms
0,1646272486, 3  * * *
0,1646272486, 4  * * *
0,1646272486, 5  * * *
0,1646272486, 6  * * *
0,1646272486, 7  nic.ar (200.108.145.10) '-15'  242.926 ms * *
1,1646301719,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
1,1646301719, 1  StarlinkRouter.lan (192.168.1.1)  1.035 ms  0.736 ms  0.606 ms
1,1646301719, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  28.378 ms  40.206 ms  28.158 ms
1,1646301719, 3  * * *
1,1646301719, 4  * * *
1,1646301719, 5  * * *
1,1646301719, 6  * * *
1,1646301719, 7  * * nic.ar (200.108.145.10) '-14'  234.978 ms
2,1646388148,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
2,1646388148, 1  StarlinkRouter.lan (192.168.1.1)  0.769 ms  0.697 ms *
2,1646388148, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.327 ms  27.371 ms  27.402 ms
2,1646388148, 3  * * *
2,1646388148, 4  * * *
2,1646388148, 5  * * *
2,1646388148, 6  * * *
2,1646388148, 7  * nic.ar (200.108.145.10) '-14'  253.749 ms *
3,1646474570,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
3,1646474570, 1  StarlinkRouter.lan (192.168.1.1)  0.777 ms  0.586 ms  0.847 ms
3,1646474570, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  46.624 ms  30.738 ms  38.416 ms
3,1646474570, 3  * * *
3,1646474570, 4  * * *
3,1646474570, 5  * * *
3,1646474570, 6  * * *
3,1646474570, 7  * * *
3,1646474570, 8  * * *
3,1646474570, 9  * * *
3,1646474570,10  * * *
3,1646474570,11  * * *
3,1646474570,12  * * *
3,1646474570,13  * * *
3,1646474570,14  * * *
3,1646474570,15  * * *
3,1646474570,16  * * *
3,1646474570,17  nic.ar (200.108.145.10) '-13'  229.271 ms  229.120 ms  229.263 ms
4,1646560920,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
4,1646560920, 1  StarlinkRouter.lan (192.168.1.1)  0.807 ms  0.610 ms  0.688 ms
4,1646560920, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  27.858 ms  28.050 ms  27.722 ms
4,1646560920, 3  * * *
4,1646560920, 4  * * *
4,1646560920, 5  * * *
4,1646560920, 6  * * *
4,1646560920, 7  * * *
4,1646560920, 8  * * *
4,1646560920, 9  * * *
4,1646560920,10  * * *
4,1646560920,11  * * *
4,1646560920,12  * * *
4,1646560920,13  * * *
4,1646560920,14  * * *
4,1646560920,15  * * *
4,1646560920,16  nic.ar (200.108.145.10) '-14'  237.308 ms nic.ar (200.108.145.10) '-15'  237.152 ms *
5,1646647354,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
5,1646647354, 1  StarlinkRouter.lan (192.168.1.1)  0.786 ms  0.604 ms  0.809 ms
5,1646647354, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.072 ms  52.020 ms  52.042 ms
5,1646647354, 3  * * *
5,1646647354, 4  * * *
5,1646647354, 5  * * *
5,1646647354, 6  * * *
5,1646647354, 7  * * *
5,1646647354, 8  * * *
5,1646647354, 9  * * *
5,1646647354,10  * * *
5,1646647354,11  * * *
5,1646647354,12  * * *
5,1646647354,13  * * *
5,1646647354,14  * * *
5,1646647354,15  * * *
5,1646647354,16  * * *
5,1646647354,17  nic.ar (200.108.145.10) '-15'  277.299 ms nic.ar (200.108.145.10) '-14'  261.094 ms  277.017 ms
6,1646733758,"traceroute to nic.ar (200.108.146.10), 30 hops max, 60 byte packets"
6,1646733758, 1  StarlinkRouter.lan (192.168.1.1)  0.767 ms  0.582 ms  0.559 ms
6,1646733758, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.311 ms  35.993 ms  36.212 ms
6,1646733758, 3  * * *
6,1646733758, 4  * * *
6,1646733758, 5  * * *
6,1646733758, 6  * * *
6,1646733758, 7  * * *
6,1646733758, 8  * * *
6,1646733758, 9  * * *
6,1646733758,10  * * *
6,1646733758,11  * * *
6,1646733758,12  * * *
6,1646733758,13  * * *
6,1646733758,14  nic.ar (200.108.146.10)  203.465 ms nic.ar (200.108.146.10) '-15'  203.322 ms nic.ar (200.108.146.10)  218.955 ms
7,1646820135,"traceroute to nic.ar (200.108.146.10), 30 hops max, 60 byte packets"
7,1646820135, 1  StarlinkRouter.lan (192.168.1.1)  0.768 ms  0.558 ms  0.721 ms
7,1646820135, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  36.498 ms  36.219 ms  36.429 ms
7,1646820135, 3  * * *
7,1646820135, 4  * * *
7,1646820135, 5  * * *
7,1646820135, 6  * * *
7,1646820135, 7  * * *
7,1646820135, 8  * * *
7,1646820135, 9  * * *
7,1646820135,10  * * *
7,1646820135,11  * * *
7,1646820135,12  * * *
7,1646820135,13  * * *
7,1646820135,14  nic.ar (200.108.146.10)  206.857 ms nic.ar (200.108.146.10) '-15'  214.939 ms  218.601 ms
8,1646906560,"traceroute to nic.ar (200.108.146.10), 30 hops max, 60 byte packets"
8,1646906560, 1  StarlinkRouter.lan (192.168.1.1)  0.913 ms  0.654 ms  0.774 ms
8,1646906560, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  24.405 ms  24.113 ms  24.300 ms
8,1646906560, 3  * * *
8,1646906560, 4  * * *
8,1646906560, 5  * * *
8,1646906560, 6  * * *
8,1646906560, 7  * * *
8,1646906560, 8  * * *
8,1646906560, 9  * * *
8,1646906560,10  * * *
8,1646906560,11  * * *
8,1646906560,12  * * *
8,1646906560,13  * * *
8,1646906560,14  nic.ar (200.108.146.10) '-15'  209.949 ms  213.733 ms nic.ar (200.108.146.10)  217.586 ms
9,1646992975,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
9,1646992975, 1  StarlinkRouter.lan (192.168.1.1)  0.770 ms  0.862 ms  1.028 ms
9,1646992975, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  23.294 ms  23.258 ms  29.639 ms
9,1646992975, 3  * * *
9,1646992975, 4  * * *
9,1646992975, 5  * * *
9,1646992975, 6  * * *
9,1646992975, 7  * * *
9,1646992975, 8  * * *
9,1646992975, 9  * * *
9,1646992975,10  * * *
9,1646992975,11  * * *
9,1646992975,12  * * *
9,1646992975,13  * * *
9,1646992975,14  * * *
9,1646992975,15  * * *
9,1646992975,16  nic.ar (200.108.145.10) '-15'  241.009 ms * *
10,1647079369,"traceroute to nic.ar (200.108.145.10), 30 hops max, 60 byte packets"
10,1647079369, 1  StarlinkRouter.lan (192.168.1.1)  0.746 ms  0.759 ms  0.590 ms
10,1647079369, 2  customer.sttlwax1.pop.starlinkisp.net (98.97.48.1) '-3'  45.835 ms  67.214 ms  66.979 ms
